DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
PACO DE LUCIA,87,079-08-160,2015-03-25,['9'],U,T,Calle,440026.0,4483665.0,"['C-7', ' C-8', ' C-8a']"
PUEBLO NUEVO,153,079-15-414,1993-07-01,"['5', ' 7']",U,T,Calle,445588.0,4476519.0,[]
PUEBLO NUEVO,153,079-15-414,1993-07-01,"['5', ' 7']",U,T,Calle,445588.0,4476523.0,[]
CIUDAD UNIVERSITARIA,93,079-09-219,1993-07-01,['6'],U,T,Avda,438474.0,4477451.0,[]
GUZMAN EL BUENO,76,079-07-121,1993-07-01,"['6', ' 7']",U,T,Calle,439706.0,4477752.0,[]
GUZMAN EL BUENO,76,079-07-121,1993-07-01,"['6', ' 7']",U,T,Calle,439706.0,4477748.0,[]
VINATEROS,144,079-14-380,1993-07-01,['9'],U,N,Calle,444727.0,4473704.0,[]
ARTILLEROS,146,079-14-385,1993-07-01,['9'],U,N,Calle,445650.0,4473140.0,[]
PACIFICO,31,079-03-063,1993-07-01,"['1', ' 6']",U,T,Avda,442819.0,4472721.0,[]
NUEVA NUMANCIA,132,079-13-351,1993-07-01,['1'],U,N,Avda,443747.0,4472079.0,[]
SAN CIPRIANO,191,079-19-531,1993-07-01,['9'],U,T,Calle,448993.0,4472960.0,[]
GOYA,42,079-04-075,1993-07-01,"['2', ' 4']",U,T,Calle,442693.0,4475336.0,[]
PRINCIPE DE VERGARA,42,079-04-075,1993-07-01,"['2', ' 9']",U,T,Calle,442405.0,4475268.0,[]
GREGORIO MARAÑON,74,079-07-135,1998-01-01,"['7', ' 10']",U,T,Calle,441481.0,4476758.0,[]
PUERTA DE TOLEDO,12,079-01-022,1993-07-01,['5'],U,N,Gta,439776.0,4473386.0,[]
ARGANZUELA-PLANETARIO,25,079-02-040,2007-01-26,['6'],U,T,Calle,441666.0,4471824.0,[]
CARABANCHEL ALTO,116,079-11-306,2006-11-01,['11'],U,T,Avda,436276.0,4469526.0,[]
CARTAGENA,52,079-05-103,1993-07-01,['7'],U,N,Avda,443104.0,4476946.0,[]
PARQUE DE LAS AVENIDAS,44,079-04-069,1993-07-01,['7'],U,N,Avda,443883.0,4476952.0,[]
CHUECA,14,079-01-004,1993-07-01,['5'],U,N,Plaza,440930.0,4475141.0,[]
TRIBUNAL,15,079-01-003,1993-07-01,"['1', ' 10']",U,T,Calle,440554.0,4475484.0,[]
PLAZA DE ESPAÑA,15,079-01-007,1993-07-01,"['2', ' 3', ' 10']",U,T,Calle,439906.0,4475278.0,[]
ISLAS FILIPINAS,76,079-07-126,1993-07-01,['7'],U,T,Calle,439577.0,4476943.0,[]
CRUZ DEL RAYO,53,079-05-097,1993-07-01,['9'],U,N,Calle,442594.0,4477497.0,[]
MENENDEZ PELAYO,31,079-03-060,1993-07-01,['1'],U,N,Avda,442325.0,4473079.0,[]
IBIZA,34,079-03-048,1993-07-01,['9'],U,N,Calle,442541.0,4474625.0,[]
ASCAO,152,079-15-420,1993-07-01,['7'],U,N,Calle,445734.0,4475912.0,[]
GRAN VIA,16,079-01-014,1993-07-01,"['1', ' 5']",U,T,Calle,440572.0,4474817.0,[]
LA RAMBLA,-1,049-006,2007-01-01,['7'],U,T,Calle,453630.0,4475298.0,[]
BARRIO DEL PUERTO,-1,049-009,2007-01-01,['7'],U,T,Avda,451824.0,4475015.0,[]
SAN FERNANDO,-1,130-008,2007-01-01,['7'],U,T,Calle,454691.0,4475210.0,[]
JARAMA,-1,130-008,2007-01-01,['7'],U,T,Plaza,455531.0,4475043.0,[]
HENARES,191,130-009,2007-01-01,['7'],U,T,Avda,455385.0,4474468.0,[]
LAS SUERTES,181,079-18-515,2007-01-01,['1'],U,T,Calle,449206.0,4468453.0,[]
VALDECARROS,181,079-18-517,2007-01-01,['1'],U,T,Avda,449744.0,4468099.0,[]
IGLESIA,73,079-07-133,1993-07-01,['1'],U,T,Gta,440825.0,4476473.0,[]
SIERRA DE GUADALUPE,134,079-13-350,1993-07-01,['1'],U,T,Avda,447082.0,4470570.0,"['C-2', ' C-7', ' C-8', ' C-8a']"
GRAN VIA,16,079-01-014,1993-07-01,"['1', ' 5']",U,T,Calle,440572.0,4474820.0,[]
BAMBU,56,079-05-083,2007-01-01,['1'],U,T,Calle,442778.0,4481109.0,[]
CANAL,76,079-07-128,1993-07-01,"['2', ' 7']",U,T,Calle,440327.0,4476897.0,[]
RONDA DE LA COMUNICACION,86,079-08-153,2007-01-01,['10'],U,T,Ronda,443963.0,4485398.0,[]
SAN BERNARDO,73,079-07-138,1993-07-01,"['2', ' 4']",U,N,Gta,440252.0,4475894.0,[]
BILBAO,73,079-07-139,1993-07-01,"['1', ' 4']",U,T,Calle,440636.0,4475801.0,[]
ALONSO MARTINEZ,73,079-07-139,1993-07-01,"['4', ' 5', ' 10']",U,N,Calle,441035.0,4475762.0,[]
ALONSO MARTINEZ,74,079-07-140,1993-07-01,"['4', ' 5', ' 10']",U,N,Calle,441155.0,4475733.0,[]
EMBAJADORES,12,079-01-022,1993-07-01,"['3', ' 5']",U,T,Gta,440485.0,4473168.0,['C-5']
MONCLOA,92,079-09-227,1993-07-01,"['3', ' 6']",U,T,Paseo,439089.0,4476492.0,[]
ALUCHE,104,079-10-256,1993-07-01,['5'],U,T,Calle,435534.0,4471045.0,['C-5']
ACACIAS,22,079-02-028,1993-07-01,"['3', ' 5']",U,N,Paseo,440147.0,4473032.0,[]
LEGAZPI,24,079-02-041,1993-07-01,"['3', ' 6']",U,T,Plaza,441120.0,4471613.0,[]
LEGAZPI,23,079-02-038,1993-07-01,"['3', ' 6']",U,T,Plaza,441114.0,4471612.0,[]
PRINCIPE PIO,91,079-09-230,1993-07-01,"['6', ' 10', ' R']",U,P,Paseo,439002.0,4474950.0,"['C-1', ' C-10', ' C-7']"
PRINCIPE PIO,91,079-09-230,1994-01-01,"['6', ' 10', ' R']",U,P,Paseo,439002.0,4474946.0,"['C-1', ' C-10', ' C-7']"
PRINCIPE PIO,91,079-09-230,1994-01-01,"['6', ' 10', ' R']",U,P,Paseo,439002.0,4474942.0,"['C-1', ' C-10', ' C-7']"
FUENCARRAL,86,079-08-162,1998-01-01,['10'],U,N,Calle,441399.0,4483147.0,[]
CUZCO,54,079-05-092,1998-01-01,['10'],U,N,Paseo,441619.0,4479076.0,[]
SANTIAGO BERNABEU,51,079-05-096,1998-01-01,['10'],U,N,Paseo,441569.0,4478317.0,[]
