DENOMINACION,BARRIO,CORONATARIFARIA,FECHAINICIO,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE,LINEAS
NUEVA NUMANCIA,132,A,1993-07-01,U,N,Avda,443747.0,4472079.0,[],"[{'linea': '1', 'orden': 22}]"
PUERTA DE TOLEDO,12,A,1993-07-01,U,N,Gta,439776.0,4473386.0,[],"[{'linea': '5', 'orden': 12}]"
ARGANZUELA-PLANETARIO,25,A,2007-01-26,U,T,Calle,441666.0,4471824.0,[],"[{'linea': '6', 'orden': 22}]"
CARABANCHEL ALTO,116,A,2006-11-01,U,T,Avda,436276.0,4469526.0,[],"[{'linea': '11', 'orden': 5}]"
CARTAGENA,52,A,1993-07-01,U,N,Avda,443104.0,4476946.0,[],"[{'linea': '7', 'orden': 15}]"
PARQUE DE LAS AVENIDAS,44,A,1993-07-01,U,N,Avda,443883.0,4476952.0,[],"[{'linea': '7', 'orden': 16}]"
CHUECA,14,A,1993-07-01,U,N,Plaza,440930.0,4475141.0,[],"[{'linea': '5', 'orden': 18}]"
ISLAS FILIPINAS,76,A,1993-07-01,U,T,Calle,439577.0,4476943.0,[],"[{'linea': '7', 'orden': 10}]"
CRUZ DEL RAYO,53,A,1993-07-01,U,N,Calle,442594.0,4477497.0,[],"[{'linea': '9', 'orden': 11}]"
MENENDEZ PELAYO,31,A,1993-07-01,U,N,Avda,442325.0,4473079.0,[],"[{'linea': '1', 'orden': 19}]"
IBIZA,34,A,1993-07-01,U,N,Calle,442541.0,4474625.0,[],"[{'linea': '9', 'orden': 15}]"
ASCAO,152,A,1993-07-01,U,N,Calle,445734.0,4475912.0,[],"[{'linea': '7', 'orden': 19}]"
GRAN VIA,16,A,1993-07-01,U,T,Calle,440572.0,4474817.0,[],"[{'linea': '1', 'orden': 14}, {'linea': '5', 'orden': 17}]"
LA RAMBLA,-1,A,2007-01-01,U,T,Calle,453630.0,4475298.0,[],"[{'linea': '7', 'orden': 27}]"
BARRIO DEL PUERTO,-1,B1,2007-01-01,U,T,Avda,451824.0,4475015.0,[],"[{'linea': '7', 'orden': 25}]"
